X,Y,Z
-2.531509801159192108e+01,2.296581588201642532e+01,-4.586488293373857772e+01
-2.588019564999442679e+01,2.245324803032026040e+01,-4.521840102642832449e+01
-2.634586892726708029e+01,2.235170771775624132e+01,-4.433928899502473087e+01
-2.606028327117613586e+01,2.169379398277799709e+01,-4.364244586320661057e+01
-2.636667465261637489e+01,2.123977371978373441e+01,-4.280579185934971775e+01
-2.604826099941689321e+01,2.076039180228810110e+01,-4.198798642855680896e+01
-2.580074300065936299e+01,2.024270794998480127e+01,-4.116900030574672797e+01
-2.492575711594658827e+01,2.045142119822730109e+01,-4.160585094562433994e+01
-2.579882810285048222e+01,2.024768389190396789e+01,-4.116286317848084053e+01
-2.671643597536400350e+01,1.990290808163959113e+01,-4.096506167960441758e+01
-2.622273749132840592e+01,1.970097441706794683e+01,-4.011919845072304724e+01
-2.580174530486661766e+01,1.960251912976108457e+01,-3.921749332412153422e+01
-2.666575141404572236e+01,1.915864583699423918e+01,-3.945512737738307862e+01
-2.581385748629850951e+01,1.928936016301492629e+01,-3.894798784940248026e+01
-2.588916985821773764e+01,1.849175681809838778e+01,-3.834952569453062665e+01
-2.586754924474131556e+01,1.913190934213177030e+01,-3.911746924391860603e+01
-2.578086286550072970e+01,1.910143587875480975e+01,-4.011323871507344307e+01
-2.567656409450616550e+01,1.947649203686911079e+01,-4.103435469291204640e+01
-2.553155006382307946e+01,1.987676106617669092e+01,-4.193920586027727637e+01
-2.455149177640858227e+01,2.004443829099598418e+01,-4.183257518201317282e+01
-2.474277349111400071e+01,1.932227962739716887e+01,-4.116782096411866831e+01
-2.448558507723879174e+01,1.976453598864093308e+01,-4.202704353755805045e+01
-2.471524174337858426e+01,1.922681531270813693e+01,-4.121580110130859964e+01
-2.461720186218160933e+01,1.981553641888989858e+01,-4.201816986991254765e+01
-2.410192946690161619e+01,2.054480367813507868e+01,-4.156798810300560376e+01
-2.419731672476162743e+01,2.029670024901329484e+01,-4.060396219075222035e+01
-2.424237305545122823e+01,2.005010249642727871e+01,-3.963589221627500336e+01
-2.443160991951577543e+01,1.970491304532425403e+01,-3.871663509657115299e+01
-2.432318863811306286e+01,1.979917988776513482e+01,-3.970626057530299846e+01
-2.404965000322868818e+01,1.883816787270696480e+01,-3.974666505697825869e+01
-2.423598199167052414e+01,1.880304440740849259e+01,-3.876480624214348580e+01
-2.369925765094828307e+01,1.917567587411588548e+01,-3.800779054078995500e+01
-2.355261430654347876e+01,1.949055933997804146e+01,-3.707005703255404683e+01
-2.318215202938886321e+01,1.857970410024286423e+01,-3.688812178733639513e+01
-2.289861571073548419e+01,1.763830610534762400e+01,-3.670542813333680243e+01
-2.326088213917576297e+01,1.739229243695546145e+01,-3.580640627053848135e+01
-2.298274520133329091e+01,1.645207067878874341e+01,-3.560987920045012345e+01
